device,lat,lon,gateway,gw_lat,gw_lon,rssi,snr,time,frequency,bandwidth,spreading_factor,distance,log_distance,delta_lat,delta_lon,angle,gateway_id,elevation,gw_elevation,delta_elevation,terrain_type,distance_3d,log_distance_3d,fspl,elevation_angle,slope,roughness,terrain_mean,terrain_std,terrain_min,terrain_max,terrain_range,obstruction_ratio,max_obstruction,mean_obstruction,fresnel_obstruction_ratio,min_fresnel_clearance,mean_fresnel_clearance,forest_ratio,water_ratio,residential_ratio,unknown_ratio
board01,16.0793622,108.1474184,7276ff002e061f5b,16.075580596923828,108.2220687866211,-106,-17.0,2025-12-02T10:15:23.952+00:00,922200000,125000,12,7987.162950180138,3.902392544785816,0.0037816030761703,-0.0746503866210872,3.0909784042094333,4,10.0,9.0,-12.5,unknown,7987.172731494561,3.902393076635273,109.78436389037324,-0.0015650080716922,1.6155846086031007,1.3705473359209452,4.445692883895132,4.227590200330962,0.0,15.0,15.0,0.0074906367041198,0.4454887218045105,0.0031328320802004,0.8764044943820225,-14.816835953176763,-6.626200000350725,0.0,0.0074906367041198,0.0636704119850187,0.5131086142322098
board01,16.0793622,108.1474184,ac1f09fffe0fd629,16.06816,108.15448,-113,-18.5,2025-12-02T10:15:23.952+00:00,922200000,125000,12,1456.325683502918,3.1632585087210603,0.0112021999999996,-0.0070616000000001,2.1332523185221923,11,10.0,7.0,-10.5,unknown,1456.3635351210362,3.163269796398973,95.00189828564724,-0.0072096134112953,1.6155846086031007,1.3705473359209452,12.428571428571429,2.381904571504724,7.0,16.0,9.0,0.1632653061224489,1.65625,0.1147959183673469,0.7959183673469388,-12.062424808039724,-4.022085126397031,0.0,0.0,0.0,0.979591836734694
board01,16.077773099999998,108.1480777,ac1f09fffe0fd629,16.06816,108.15448,-113,-16.0,2025-12-02T10:15:08.953+00:00,922200000,125000,12,1269.0805453887929,3.103489186561065,0.0096130999999992,-0.0064023000000048,2.1583354771451857,11,12.0,7.0,-8.5,unknown,1269.109010559895,3.1034989275724945,93.80648090911768,-0.0066975120616139,1.180268610541385,1.0150862032359615,12.581395348837209,2.384373138228148,7.0,16.0,9.0,0.0232558139534883,0.6547619047619051,0.0152270210409745,0.6976744186046512,-9.5851490152213,-2.5919539851330144,0.0,0.0,0.0,1.0
board01,16.0770671,108.1483871,ac1f09fffe0fd629,16.06816,108.15448,-113,-8.5,2025-12-02T10:14:39.058+00:00,922200000,125000,12,1185.2272941191204,3.0738016441148264,0.0089071000000018,-0.0060929000000129,2.1707370581687324,11,13.0,7.0,-7.5,unknown,1185.2510235072282,3.073810339020186,93.21270913807147,-0.0063276890311547,1.2060113295832984,1.2496399481450646,12.5,2.39791576165636,7.0,16.0,9.0,0.0,0.0,0.0,0.675,-8.833023091947554,-1.732970892585034,0.0,0.0,0.0,1.0
board01,16.0744034,108.15279379999996,7276ff002e06029f,16.0659959,108.1532551,-75,10.2,2025-12-02T07:01:53.046+00:00,922200000,125000,12,936.169812786405,2.9713546329977283,0.0084075000000005,-0.0004613000000404,1.6256090446864184,3,17.0,10.0,-6.5,unknown,936.1923778650053,2.9713651009394217,91.1638043764562,-0.0069429058722024,1.4325469141102412,1.324235628579748,12.15625,2.488842288595241,8.0,17.0,9.0,0.03125,0.1774193548387082,0.0055443548387096,0.25,-4.7030801376641485,2.9977633060855213,0.0,0.0,0.0,1.0
board01,16.0744034,108.15279379999996,ac1f09fffe0fd629,16.06811,108.15432,-113,-14.5,2025-12-02T07:01:53.046+00:00,922200000,125000,12,718.5434923904795,2.8564530604779432,0.0062934000000005,-0.0015262000000433,1.8087113840852431,11,17.0,7.0,-3.5,unknown,718.5520165281753,2.856458212516818,88.86566660800413,-0.0048708684129527,1.4325469141102412,1.324235628579748,12.416666666666666,3.98869931459144,6.0,19.0,13.0,0.0,-1.5,0.0,0.375,-3.380257384602133,2.1366344877615973,0.0,0.0,0.0,1.0
board01,16.0746465,108.15247459999998,7276ff002e06029f,16.0659959,108.1532551,-94,8.8,2025-12-02T07:01:23.049+00:00,922200000,125000,12,965.5112568286928,2.984757341554136,0.0086505999999992,-0.0007805000000189,1.6607776444975126,3,17.0,10.0,-6.5,unknown,965.5331361806916,2.984767182945536,91.43184601657848,-0.0067319303348768,1.5758365656662083,1.4221111067704943,12.363636363636363,2.3589697522458866,8.0,17.0,9.0,0.0303030303030303,0.21875,0.0066287878787878,0.303030303030303,-4.796661869548771,2.679342332534379,0.0,0.0,0.0,1.0
board01,16.0746465,108.15247459999998,ac1f09fffe0fd629,16.0681,108.15432,-113,-11.0,2025-12-02T07:01:23.049+00:00,922200000,125000,12,754.1703143469648,2.8774694337059907,0.0065464999999989,-0.0018454000000218,1.84555777174248,11,17.0,7.0,-3.5,unknown,754.1784358109159,2.8774741104851222,89.28598456737022,-0.0046407782395787,1.5758365656662083,1.4221111067704943,12.076923076923077,3.6576902855288433,6.0,19.0,13.0,0.0,-1.5,0.0,0.3461538461538461,-3.9503633829757288,2.310697011422054,0.0,0.0,0.0,1.0
board01,16.0746465,108.15247459999998,7276ff002e062cf2,16.11830711364746,108.273681640625,-121,-7.5,2025-12-02T07:01:23.049+00:00,922200000,125000,12,13829.393373606825,4.140803130198012,-0.0436606136474608,-0.1212070406250234,-2.7958466107220934,5,17.0,584.0,-580.5,unknown,13841.571490692824,4.141185400163503,114.56021036093784,-0.0419143171595379,1.5758365656662083,1.4221111067704943,51.72668112798264,123.37607675849064,0.0,584.0,584.0,0.0,-0.2967391304348439,0.0,0.0021691973969631,-2.8260874603072352,230.75274577136767,0.0,0.0650759219088937,0.0,0.1540130151843818
board01,16.0746465,108.15247459999998,7276ff002e061f5b,16.075597763061523,108.22207641601562,-114,-16.5,2025-12-02T07:01:23.049+00:00,922200000,125000,12,7437.507601716367,3.8714274226198713,-0.0009512630615233,-0.0696018160156484,-3.1279262883580143,4,17.0,9.0,-5.5,unknown,7437.509635327456,3.871427541367441,109.1650531850166,-0.0007394947055009,1.5758365656662083,1.4221111067704943,5.233870967741935,4.279751407778603,0.0,17.0,17.0,0.0080645161290322,0.4129554655870429,0.00297929998694,0.8064516129032258,-13.330560725873152,-3.2102821174704244,0.0,0.0120967741935483,0.1088709677419354,0.5282258064516129
