lat,lon,rssi,gateway
15.905000000000005,108.27499999999982,-120.0,7276ff002e062cf2
15.905000000000005,108.27999999999982,-120.0,7276ff002e062cf2
15.905000000000005,108.2849999999998,-120.0,7276ff002e062cf2
15.905000000000005,108.2899999999998,-120.0,7276ff002e062cf2
15.905000000000005,108.2949999999998,-120.0,7276ff002e062cf2
15.905000000000005,108.2999999999998,-120.0,7276ff002e062cf2
15.905000000000005,108.3049999999998,-120.0,7276ff002e062cf2
15.905000000000005,108.3099999999998,-120.0,7276ff002e062cf2
15.905000000000005,108.31499999999978,-120.0,7276ff002e062cf2
15.910000000000004,108.08,-120.0,7276ff002e062cf2
15.910000000000004,108.085,-120.0,7276ff002e062cf2
15.910000000000004,108.09,-120.0,7276ff002e062cf2
15.910000000000004,108.09499999999998,-120.0,7276ff002e062cf2
15.910000000000004,108.09999999999998,-120.0,7276ff002e062cf2
15.910000000000004,108.10499999999998,-120.0,7276ff002e062cf2
15.910000000000004,108.10999999999996,-120.0,7276ff002e062cf2
15.910000000000004,108.11499999999997,-120.0,7276ff002e062cf2
15.910000000000004,108.11999999999996,-120.0,7276ff002e062cf2
15.910000000000004,108.12499999999996,-120.0,7276ff002e062cf2
15.910000000000004,108.12999999999997,-120.0,7276ff002e062cf2
15.910000000000004,108.13499999999996,-120.0,7276ff002e062cf2
15.910000000000004,108.13999999999994,-120.0,7276ff002e062cf2
15.910000000000004,108.14499999999994,-120.0,7276ff002e062cf2
15.910000000000004,108.14999999999992,-120.0,7276ff002e062cf2
15.910000000000004,108.15499999999992,-120.0,7276ff002e062cf2
15.910000000000004,108.15999999999993,-120.0,7276ff002e062cf2
15.910000000000004,108.16499999999992,-120.0,7276ff002e062cf2
15.910000000000004,108.16999999999992,-120.0,7276ff002e062cf2
15.910000000000004,108.17499999999993,-120.0,7276ff002e062cf2
15.910000000000004,108.17999999999992,-120.0,7276ff002e062cf2
15.910000000000004,108.1849999999999,-120.0,7276ff002e062cf2
15.910000000000004,108.1899999999999,-120.0,7276ff002e062cf2
